,region,townsize,gender,agecat,edcat,jobcat,union,employ,empcat,retire,income,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenurecat,card2,card2type,card2benefit,card2fee,active,bfast,tenure,churn,longmon,tollfree,tollmon,tollten,equip,equipten,callcard,cardmon,cardten,wireless,wiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03,Total_Spend
Non_null,5000.0,4998.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4999.0,5000.0,4999.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4998.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4998.0,5000.0,5000.0,5000.0,1344.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Null,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sum,15007.0,13431.0,2518.0,21194.0,13360.0,13764.0,756.0,48652.0,14663.0,738.0,273798.0,11961.0,49770.8,9286.628228999998,-652.1371549212142,18272.300771000002,3483.8793840387484,1171.0,14821.0,2401.0,11020.0,15337.0,2502.0,1962.0,552.0,278.0,573.0,233.0,9237.0,3148.0,9213.0,16360.0,10653.0,3207.0,1719.0,116162.90000000001,6947.0,1105.0,1805.0,9867.0,126677.0,3395.0,513.0,1359.0,2030.0,1373.0,477.0,617.0,1919.0,292.0,940.0,38184.0,20443.0,1907.0,1192.0,2590.0,13571.0,12535.0,12529.0,949.0,18911.0,13872.0,12706.0,12670.0,936.0,2330.0,10293.0,191024.0,1266.0,67357.25,2378.0,66322.25,2889162.55,1704.0,2350882.0,3581.0,77219.25,3600951.0,1344.0,53505.95,2109923.0500000003,9150.129457400872,2442.0,1515.0,1218.0,5998.0,2376.0,2395.0,2403.0,2390.0,1743.0,4915.0,98225.0,4578.0,4568.0,4664.0,1005.0,3164.0,2396.0,2374.0,894.0,2363.0,418.0,649.0,513.0,2490393.15
Median,3.0,3.0,1.0,4.0,2.0,2.0,0.0,7.0,3.0,0.0,38.0,2.0,8.799999999999999,0.926437,-0.07610596681639492,2.09854,0.7415372647080377,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,17.0,1.0,0.0,0.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,4.0,3.0,3.0,3.0,0.0,0.0,2.0,38.0,0.0,9.55,0.0,0.0,0.0,0.0,0.0,1.0,13.75,425.0,0.0,0.0,0.0,7.147185242710854,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.25
Mean,3.0014,2.6872749099639854,0.5036,4.2388,2.672,2.7528,0.1512,9.7304,2.9326,0.1476,54.7596,2.3922,9.954160000000028,1.857325645800007,-0.13045352168858046,3.6544601542000064,0.6969152598597214,0.2342,2.9642,0.4802,2.204,3.0674,0.5004,0.3924,0.1104,0.0556,0.1146,0.0466,1.8474,0.6296,1.8426,3.272,2.1306,0.6414,0.3438,23.232580000000013,1.3894,0.221,0.361,1.9734,25.345538215286116,0.679,0.1026,0.2718,0.406,0.2746,0.0954,0.1234,0.3838,0.0584,0.188,7.6368,4.0886,0.3814,0.2384,0.518,2.7142,2.507,2.5058,0.1898,3.7822,2.7744,2.5412,2.534,0.1872,0.466,2.0586,38.2048,0.2532,13.471449999999965,0.4756,13.26445,577.8325099999995,0.3408,470.1764000000004,0.7162,15.44385,720.4783913565426,0.2688,10.701189999999992,421.98460999999986,6.808132036756596,0.4884,0.303,0.2436,1.1996,0.4752,0.479,0.4806,0.478,0.3486,0.983,19.645,0.9156,0.9136,0.9328,0.201,0.6328,0.4792,0.4748,0.1788,0.4726,0.0836,0.1298,0.1026,498.0786300000011
Std_Dev,1.4217602893821795,1.4259249959626668,0.5000370460370995,1.3087846054369119,1.2117382811203492,1.7378999451188137,0.35827954567149795,9.690928678910543,1.4532995754252338,0.35473850634173765,55.37751115379158,1.221260600973905,6.399783288489389,3.4157319702038746,1.2730583886746754,5.39517156303194,1.128578240861765,0.4235401247195532,1.3794560303931276,0.49965777445998694,1.393977271883199,3.4144968879468593,0.8607833813486151,0.7960835319223737,0.49422736886826585,0.3257757909562805,0.5687983353608707,0.4695450292643924,3.0748014766525253,0.482960133031729,0.9167296868017991,1.3199865426945028,1.307472958461271,0.6548983267375683,0.6515262521890217,21.231636701465263,1.081296203773958,0.6091249515832958,0.48033857333031316,1.2589715810487703,5.879148725307229,0.46690748603990345,0.30346607443282836,0.4449318519398025,0.49113362993028387,0.44635712936769817,0.2937960231532134,0.32892868347982984,0.4863587862615227,0.2345217262600985,0.390751247352415,2.8500018003594607,1.387059777718862,0.4857789993888751,0.4261475804836404,0.49972587004179314,1.1849047049581685,1.1184816494873575,1.1172358762591783,0.3921820002808292,1.353783478234645,1.1734479264148086,1.1188176395562126,1.1172706291368084,0.39011100640645335,0.4988925523153748,0.8295201388345904,22.66188803241772,0.43488801491544804,12.77338115969103,0.4994542330446316,16.31001784284441,949.1515863061092,0.4740256322816485,912.220624143883,0.45088603842205655,15.007569093744479,922.2255266128699,0.44338005951492665,19.79983653440709,1001.0032867442054,1.283966902694352,0.4999154159301459,0.45960118216704005,0.42929698249559495,1.4493377646329173,0.49943452720993364,0.49960876872243387,0.49967346809186525,0.499565724587496,0.4765747209965602,0.12928396214756735,5.1656085510170575,0.2780145651214692,0.2809819036273116,0.25039308964081447,0.4007881313427752,0.4820898693484882,0.49961713687252557,0.4994145001585171,0.3832230838381273,0.49929860786904434,0.27681467676598365,0.3361168768612943,0.3034660744328282,351.52927007531974
CV,0.47369903691016846,0.5306211845597059,0.9929250318449155,0.3087630002446239,0.4534948656887534,0.6313208170295022,2.3695737147585842,0.9959435047799211,0.4955669288089865,2.4033774142394146,1.01128406989444,0.5105177664801878,0.642925499337902,1.8390592828607686,-9.758712315285202,1.4763251849473211,1.619390915746243,1.8084548450877593,0.46537211739866663,1.0405201467305016,0.6324760761720504,1.1131567085958334,1.7201906102090632,2.028755178191574,4.47669718177777,5.859276815760441,4.963336259693461,10.076073589364643,1.6643940005697333,0.7670904273057957,0.49751963898936236,0.4034188700166573,0.6136642065433545,1.021045099372573,1.8950734502298479,0.9138733925145314,0.7782468718684021,2.7562215003769044,1.3305777654579312,0.6379708021935595,0.23195990850024495,0.6876398910749683,2.957759010066553,1.6369825310515178,1.2096887436706498,1.6254811703120835,3.0796228842055915,2.6655484884913276,1.267219349300476,4.015782983905797,2.078464081661782,0.37319319615014934,0.33925054486104345,1.2736733072597668,1.7875317973307063,0.9647217568374384,0.43655762469905257,0.4461434581122287,0.4458599554071268,2.066290833934822,0.3579354550882145,0.422955567479386,0.44027138342366307,0.44091185048808545,2.0839263162737893,1.0705848762132506,0.4029535309601624,0.5931686079345454,1.7175671995080888,0.948181610716817,1.0501560829365677,1.2296037787352216,1.6426067586714876,1.3909202825165743,1.9401667632486068,0.6295532510779902,0.9717505086972795,1.280018301279613,1.649479388076364,1.8502462375125668,2.372132212935931,0.1885931259503063,1.0235778376948115,1.5168355847097033,1.762302883807861,1.208184198593629,1.0509985841959884,1.0430245693578997,1.039686783378829,1.0451165786349288,1.3671105019981644,0.13151979872590777,0.2629477501154013,0.3036419453052307,0.30755462305966685,0.2684316998722282,1.993970802700374,0.761836076720114,1.042606713006105,1.0518418284720243,2.1433058380208463,1.0564930340013634,3.311180344090714,2.5894982809036544,2.957759010066552,0.7057706331936364
Variance,2.0214023204640985,2.0332620941111315,0.25003704740950844,1.7129171434286532,1.4683096619324985,3.0202962192439755,0.12836423284657497,93.91409865973085,2.112079655931165,0.12583940788156706,3066.668741588311,1.4914774554911439,40.95722613962806,11.667224892272843,1.6206776609749607,29.107876194548506,1.273688845746636,0.1793862372474547,1.9028989397879652,0.2496578915783072,1.9431726345269265,11.658788997798789,0.7409480296059553,0.633748989798001,0.24426069213844892,0.10612986597319017,0.3235315463092975,0.2204725345068991,9.45440412082455,0.23325049009802537,0.8403933186637247,1.7423644728945866,1.7094855371074686,0.42889181836366685,0.4244864572914727,450.78239702300675,1.169201480295973,0.3710332066413525,0.23072514502900066,1.5850094418884404,34.56438973428162,0.21800260052010262,0.09209165833167093,0.19796435287058234,0.241212242448497,0.19923468693737206,0.0863161032206435,0.10819407881577407,0.2365448689737815,0.055000440088016585,0.1526865373074682,8.122510262052167,1.923934826965499,0.2359812362472567,0.18160176035206077,0.2497259451890271,1.4039991598320045,1.2510012002399602,1.248216003200614,0.1538067213442723,1.8327297059410936,1.3769800360072137,1.2517529105821352,1.2482936587317595,0.15218659731945589,0.24889377875574903,0.6881036607321582,513.5611691938376,0.18912758551709893,163.1592662507498,0.24945453090620118,266.01668203390295,900888.7337874033,0.22470030006001665,832146.4671134555,0.20329821964393627,225.2271301035145,850499.9219363852,0.1965858771754599,392.03352678924165,1002007.5800727019,1.6485710072145277,0.24991542308461076,0.21123324664934073,0.18429589917982314,2.1005799559911416,0.24943484696940993,0.24960892178434643,0.2496735747149523,0.24956591318262988,0.2271234646929492,0.016714342868573626,26.683511702340542,0.07729209841967964,0.07895083016602783,0.06269669933987296,0.16063112622523362,0.23241064212844242,0.24961728345669995,0.2494148429685815,0.14685993198640435,0.24929909981996573,0.07662636527305601,0.11297455491099048,0.09209165833167084,123572.8277196871
Min,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,-6.597333719560867,0.0,-4.092107067281908,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5416019934645457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.11
P1,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,0.7000000000000001,0.03316008,-3.4016901129336294,0.11429903999999999,-2.1682409342213766,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.039749158970765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.1976
P10,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,1.0,2.8000000000000007,0.17568179999999997,-1.737842065550263,0.4579968,-0.7803116238225046,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.4900000000000033,1.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,7.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.881065448727165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.03300000000002
P25,2.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,2.0,0.0,24.0,1.0,5.1,0.3855195,-0.952685112759869,0.9803014999999999,-0.018986509354309504,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,9.200000000000001,1.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,18.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.158090617790124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.2825
P50,3.0,3.0,1.0,4.0,2.0,2.0,0.0,7.0,3.0,0.0,38.0,2.0,8.799999999999999,0.926437,-0.07610596681639492,2.09854,0.7415372647080377,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,17.0,1.0,0.0,0.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,4.0,3.0,3.0,3.0,0.0,0.0,2.0,38.0,0.0,9.55,0.0,0.0,0.0,0.0,0.0,1.0,13.75,425.0,0.0,0.0,0.0,7.147185242710854,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.25
P75,4.0,4.0,1.0,5.0,4.0,4.0,0.0,15.0,4.0,0.0,67.0,3.0,13.600000000000001,2.06382,0.7246652045548783,4.314780000000001,1.4620532910242925,0.0,4.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,4.0,3.0,1.0,1.0,31.1,2.0,1.0,1.0,3.0,29.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,5.0,1.0,0.0,1.0,4.0,4.0,3.25,0.0,5.0,4.0,4.0,4.0,0.0,1.0,3.0,59.0,1.0,16.55,1.0,24.5,885.4499999999999,1.0,510.16249999999997,1.0,22.75,1080.0,1.0,20.9625,89.96249999999999,7.755376151740708,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,615.5625
P90,5.0,5.0,1.0,6.0,4.0,6.0,1.0,25.0,5.0,1.0,109.10000000000036,4.0,18.6,4.299470400000002,1.458625298577163,8.0620461,2.0871780615642948,1.0,5.0,1.0,4.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,5.0,4.0,1.0,1.0,52.91000000000004,3.0,1.0,1.0,4.0,33.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,9.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,5.0,4.0,4.0,4.0,1.0,1.0,3.0,69.0,1.0,27.0,1.0,35.5,1918.9550000000002,1.0,1912.3250000000016,1.0,34.0,1871.500000000001,1.0,40.86000000000004,1778.5350000000005,8.10661623550654,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,908.1250000000011
P95,5.0,5.0,1.0,6.0,5.0,6.0,1.0,31.0,5.0,1.0,147.0,5.0,22.2,6.3730104000000045,1.852297332650724,11.815980800000007,2.4695863746537317,1.0,5.0,1.0,5.0,10.0,2.0,2.0,1.0,0.0,1.0,0.0,8.0,1.0,4.0,5.0,4.0,1.0,1.0,72.0,3.0,1.0,1.0,4.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,5.0,5.0,4.0,4.0,1.0,1.0,3.0,72.0,1.0,36.75750000000003,1.0,43.5,2620.2124999999996,1.0,2600.99,1.0,42.0,2455.749999999998,1.0,51.305000000000014,2687.9225000000015,8.310816685561068,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1145.1465000000003
P99,5.0,5.0,1.0,6.0,5.0,6.0,1.0,39.0,5.0,1.0,272.0100000000002,5.0,29.2,14.280358400000008,2.65891009010391,24.064260000000036,3.180802494885117,1.0,5.0,1.0,6.0,13.0,3.0,3.0,3.0,2.0,3.0,2.0,11.0,1.0,4.0,5.0,6.0,1.0,1.0,92.00100000000002,3.0,1.0,1.0,5.0,40.029999999999745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,7.0,1.0,1.0,1.0,5.0,4.0,4.0,1.0,5.0,5.0,4.0,4.0,1.0,1.0,3.0,72.0,1.0,65.20100000000004,1.0,58.752500000000055,3977.270500000003,1.0,3679.4575,1.0,64.25,4011.19999999999,1.0,78.30400000000007,4530.186000000002,8.690117217291228,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1760.1024000000023
Max,5.0,5.0,1.0,6.0,5.0,6.0,1.0,52.0,5.0,1.0,1073.0,5.0,43.1,109.072596,4.692013678885976,141.45915,4.952010982824063,1.0,5.0,1.0,9.0,21.0,6.0,7.0,5.0,6.0,7.0,8.0,16.0,1.0,4.0,5.0,8.0,1.0,1.0,99.60000000000001,3.0,1.0,1.0,5.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,7.0,1.0,1.0,1.0,5.0,4.0,4.0,1.0,5.0,5.0,4.0,4.0,1.0,1.0,3.0,72.0,1.0,179.85,1.0,173.0,6923.45,1.0,6525.3,1.0,188.5,13705.0,1.0,186.25,12858.65,9.461772015609323,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4881.05
